TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterID
85,20,18,-81.89765706,161.4646068,3
15,12,32,-9.984804946,-97.54879466,3
23,10,51,-45.31494915,39.92715707,4
99,18,37,67.63216061,6.64775342,3
62,13,84,29.6032206,141.1436599,5
35,16,67,-87.85516802,164.7491499,4
60,16,76,80.78410228,101.4440395,3
71,17,20,-65.91079647,87.0777088,5
95,12,87,63.23874977,-111.7756671,5
58,19,86,-79.29927478,24.63350414,4
41,15,27,-5.383386647,74.75684406,3
30,10,62,0.398730635,-80.76567548,3
94,11,77,-69.85491714,-52.31298087,5
98,18,82,82.45214784,128.1066249,4
53,13,55,62.39864509,-0.111675413,5
95,15,17,-42.63451017,-20.91652816,4
99,10,81,-30.75082217,-24.84132555,3
33,12,79,-5.122645021,-127.4468584,5
67,12,77,-31.01726003,163.8158065,4
70,12,63,44.68078314,92.40994842,3
100,10,66,-35.45132397,-148.1118645,3
57,11,44,34.01704684,-117.1044471,5
64,16,56,-59.38101453,-56.20235219,5
37,19,90,-24.02693383,-21.14691322,4
99,13,28,23.73186014,131.5719082,5
85,20,64,37.23247015,-59.84797301,3
50,20,33,68.05767628,-28.02761148,4
61,11,42,54.4093501,159.3321564,3
36,19,44,-36.30670088,118.7314951,5
76,17,78,-29.69568713,-138.3339841,4
92,15,63,-27.86767245,159.0311067,4
55,14,37,-43.19356914,-68.0325736,3
53,13,82,56.47496381,-66.04691384,3
28,17,86,67.46130189,-128.4351417,5
15,13,50,-6.323772648,-93.80501647,5
58,11,14,-81.30546443,-51.21512663,4
78,10,19,67.18652897,-1.295194159,3
12,13,11,-9.374984071,13.04936887,3
81,10,29,23.75172274,-137.239433,5
35,17,27,-15.67212404,158.6540821,4
99,16,41,73.73968419,-112.6035316,3
24,11,15,-5.223711218,-16.09455888,3
100,12,37,76.465234,103.1381261,5
93,13,72,27.42597513,-37.30712555,4
46,10,11,-66.44038238,5.91110435,3
48,12,41,52.96080126,-161.7375425,4
72,20,56,53.18379357,-100.0121744,3
71,17,72,35.20270073,91.96694965,5
43,10,16,61.98595915,-10.78403282,4
34,14,82,6.667214449,176.5032212,4
46,13,81,0.846445424,-23.51962343,3
71,15,78,-64.81327994,58.5788271,5
41,19,79,57.30017759,-133.0998014,5
25,19,35,-33.64556996,-81.67444589,4
45,11,15,10.59790251,-5.380756162,5
25,20,40,-22.55711341,-169.0208094,3
84,17,41,9.470126399,-12.04702579,4
29,15,39,-12.65431957,-46.17015216,5
71,14,97,39.5669744,-75.9035568,3
91,17,14,-29.86777171,-110.754317,3
76,14,100,88.67490686,-102.2796661,4
45,12,68,42.07457444,79.62771271,5
99,14,86,43.78983943,113.1674542,3
61,15,45,-27.40064769,-40.29355507,4
17,10,58,-74.69327262,1.794486412,5
72,17,35,-32.83505575,34.95071995,3
67,10,10,-29.45382014,128.1098589,4
51,14,76,69.41718089,-47.07207097,4
96,17,54,67.51540737,-21.4741657,5
39,20,53,50.83790305,-111.4745189,3
72,13,51,66.46505383,11.64393041,5
66,10,63,86.26332476,-49.71421498,4
90,12,61,-34.85527542,-36.48615817,3
54,20,41,-24.64546409,40.08236376,4
77,20,37,-13.20730372,9.161777825,3
